AGLHAL,AGLSOM,ANGAST1,ARWF1
0.000,0.000,0.000,71.725
0.000,0.000,0.000,82.778
0.000,0.000,0.000,84.265
0.000,0.000,0.000,38.964
2.258,0.000,1.628,6.646
0.000,0.000,1.245,129.554
0.000,0.000,0.000,63.066
0.000,0.000,0.303,84.729
0.000,0.000,-0.001,114.079
0.000,0.000,0.182,20.956
0.000,0.000,0.000,15.421
0.000,0.000,0.000,57.726
0.000,0.000,0.000,85.433
0.000,0.000,0.000,106.965
0.000,0.000,0.294,132.627
0.000,0.000,0.000,46.133
12.864,0.000,0.000,1.850
42.991,51.018,14.562,47.279
49.822,26.800,17.713,65.436
0.000,0.000,0.000,85.881
29.429,0.000,1.322,29.684
11.784,-0.005,0.000,73.187
0.000,0.000,0.000,110.376
0.000,0.000,0.000,66.343
0.886,0.000,0.588,38.150
0.000,0.000,0.000,24.694
23.437,22.697,0.000,9.468
34.642,35.602,13.136,47.170
0.000,0.000,0.000,120.737
0.000,0.000,0.000,196.755
0.000,0.000,0.000,176.882
